id,start,end,title,lane,scope
0,31103,32500,Nephi,0,all
1,32500,32703,Jacob,0,all
2,32703,32729,Enos,0,all
3,31103,31123,Leaving Jerusalem,1,all
4,31123,31136,Father's Blessings,1,all
5,31332,31367,Nephi's Vision,1,all
